Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,0,0,0
20635F00C8000063,0,0,0
20635F00C8000064,0,0,0
20635F00C8000065,0,0,0
20635F00C8000066,1,0,1
20635F00C8000067,0,0,0
20635F00C8000068,0,0,0
20635F00C8000069,2,1,1
20635F00C800006A,0,0,0
20635F00C800006B,0,0,0
20635F00C8000080,2,1,1
20635F00C8000081,8,1,7
20635F00C8000082,10,2,8
20635F00C8000083,8,2,6
20635F00C8000084,8,3,5
20635F00C8000085,6,1,5
20635F00C8000086,5,0,5
20635F00C8000087,6,1,5
20635F00C8000088,5,1,4
20635F00C8000089,7,1,6
20635F00C80000A8,5,0,5
20635F00C80000A9,8,0,8
20635F00C80000AA,5,0,5
20635F00C80000AB,8,0,8
20635F00C80000AC,6,0,6
20635F00C80000AD,8,0,8
20635F00C80000AE,4,0,4
20635F00C80000AF,6,0,6
20635F00C80000B0,8,0,8
20635F00C80000B1,5,0,5
20635F00C80000BC,2,1,1
20635F00C80000BD,5,0,5
20635F00C80000BE,8,0,8
20635F00C80000BF,6,0,6
20635F00C80000C0,0,0,0
20635F00C80000C1,7,0,7
20635F00C80000C2,5,0,5
20635F00C80000C3,7,0,7
20635F00C80000C4,6,0,6
20635F00C80000C5,6,0,6
20635F00C80000E4,6,0,6
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,0,0,0
20635F00C80000E8,9,1,8
20635F00C80000E9,8,0,8
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,0,0,0
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,206,16,190
