dxProfileId,customerId,deviceEUI,time,coordinates.lng,coordinates.lat,coordinates.alt,age,validityState,horizontalAccuracy,processedFeed.SF,processedFeed.payloadEncoded,processedFeed.sequenceNumber,processedFeed.dynamicMotionState,processedFeed.temperatureMeasure,processedFeed.processedPacket.SNR,processedFeed.processedPacket.RSSI,processedFeed.processedPacket.baseStationId,processedFeed.processedPacket.antennaCoordinates.lng,processedFeed.processedPacket.antennaCoordinates.lat,rawPosition.coordinates.lng,rawPosition.coordinates.lat,rawPosition.coordinates.alt,rawPosition.rawPositionType,resolvedTracker.firmwareVersion,resolvedTracker.messageType,resolvedTracker.trackingMode,resolvedTracker.gpsScanMode,resolvedTracker.sensorMode,resolvedTracker.periodicPositionInterval,resolvedTracker.batteryLevel,resolvedTracker.activityCount
iot-api,100033601,20635F00C80000A8,2020-03-18T06:00:12.094000+00:00,-106.895515,32.547073,0.0,541,PREVIOUS,11,10,0548917c5040,3880,STATIC,18.729412,-5.5,-120.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,93,-1
iot-api,100033601,20635F00C8000086,2020-03-18T06:00:30.764000+00:00,-106.901146,32.558617,0.0,200,NEW,11,9,034e8e81301913680dc0482e01700ad3,2232,MOVING,21.258823,-8.5,-119.0,08080056,-106.86889,32.577686,-106.901146,32.558617,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C80000AF,2020-03-18T06:00:48.792000+00:00,-106.90107,32.558594,0.0,1183,PREVIOUS,11,9,054c8c7ea040,3444,MOVING,19.741177,-11.0,-119.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,92,-1
iot-api,100033601,20635F00C8000084,2020-03-18T06:01:14.265000+00:00,-106.84708,32.578224,0.0,549,PREVIOUS,8,8,054c8b833040,3855,MOVING,22.270588,10.25,-99.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,0,92,-1
iot-api,100033601,20635F00C80000C0,2020-03-18T06:01:18.011000+00:00,-106.8957,32.54705,0.0,0,NEW,10,9,034a887db00013664ac0490102ca6c69,2171,STATIC,19.235294,-10.75,-117.0,08080056,-106.86889,32.577686,-106.895744,32.547073,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C8000081,2020-03-18T06:02:01.186000+00:00,-106.84714,32.57818,0.0,144,NEW,8,7,034a917b1012136b07c0506b014aa09e,1675,STATIC,18.22353,0.0,-115.0,08080056,-106.86889,32.577686,-106.84715,32.578125,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,93,-1
iot-api,100033601,20635F00C80000E6,2020-03-18T06:02:06.888000+00:00,-106.804085,32.529877,0.0,139040,PREVIOUS,3,10,05009b708001,4216,STATIC,12.658824,-11.25,-119.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.5,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,88,-1
iot-api,100033601,20635F00C80000C4,2020-03-18T06:02:34.131000+00:00,-106.901146,32.558258,0.0,256,NEW,11,9,034e948080201367ffc0482e0116b17d,2178,MOVING,20.752941,-11.0,-117.0,08080056,-106.86889,32.577686,-106.901146,32.558258,0.0,RawPositionByGpsSolver,1.7.5,Position Message,PERMANENT_TRACKING,UNKNOWN,GPS_ONLY,900,94,-1
iot-api,100033601,20635F00C8000015,2020-03-18T06:03:30.223000+00:00,-106.8042,32.53011,0.0,735284,PREVIOUS,8,10,05009b718001,3318,STATIC,13.164706,-12.75,-113.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.3,Heartbeat,OFF,UNKNOWN,UNKNOWN,0,17,-1
iot-api,100033601,20635F00C80000B1,2020-03-18T06:03:54.243000+00:00,-106.89567,32.546738,0.0,581,PREVIOUS,11,9,054c8b7eb040,3787,MOVING,19.741177,1.5,-117.0,08080056,-106.86889,32.577686,-9999,-9999,-9999,,1.7.5,Heartbeat,PERMANENT_TRACKING,UNKNOWN,UNKNOWN,900,91,-1
